id,user_id,title,description,slug,active,questions,image,premium,type,prompt,custom_template,tone_of_voice,color,filters,package,created_at,updated_at
1,NULL,"Post Title Generator","Get captivating post titles instantly with our title generator. Boost engagement and save time.",post_title_generator,1,"[{""name"":""your_description"",""type"":""textarea"",""question"":""Description"",""select"":""""}]","<svg xmlns=""http://www.w3.org/2000/svg"" height=""48"" viewBox=""0 96 960 960"" width=""48""><path d=""M430 896V356H200V256h560v100H530v540H430Z""/></svg>",0,text,NULL,0,0,#A3D6C2,blog,NULL,2025-09-26T14:23:05.000000Z,2025-09-26T14:23:05.000000Z
2,NULL,"Summarize Text","Effortlessly condense large text into shorter summaries. Save time and increase productivity.",summarize_text,1,"[{""name"":""text_to_summary"",""type"":""textarea"",""question"":""Text to summary"",""select"":""""}]","<svg xmlns=""http://www.w3.org/2000/svg"" height=""48"" viewBox=""0 96 960 960"" width=""48""><path d=""M120 816v-60h480v60H120Zm0-210v-60h720v60H120Zm0-210v-60h720v60H120Z""/></svg>",0,text,NULL,0,0,#CCD9B8,blog,NULL,2025-09-26T14:23:06.000000Z,2025-09-26T14:23:06.000000Z
3,NULL,"Product Description","Easily create compelling product descriptions that sell. Increase conversions and boost sales.",product_description,1,"[{""name"":""product_name"",""type"":""text"",""question"":""Product Name"",""select"":""""},{""name"":""description"",""type"":""textarea"",""question"":""Short Description"",""select"":""""}]","<svg xmlns=""http://www.w3.org/2000/svg"" height=""48"" viewBox=""0 96 960 960"" width=""48""><path d=""M319 806h322v-60H319v60Zm0-170h322v-60H319v60Zm-99 340q-24 0-42-18t-18-42V236q0-24 18-42t42-18h361l219 219v521q0 24-18 42t-42 18H220Zm331-554h189L551 236v186Z""/></svg>",0,text,NULL,0,0,#C2DEDD,ecommerce,NULL,2025-09-26T14:23:06.000000Z,2025-09-26T14:23:06.000000Z
4,NULL,"Article Generator","Instantly create unique articles on any topic. Boost engagement, improve SEO, and save time.",article_generator,1,"[{""name"":""article_title"",""type"":""text"",""question"":""Article Title"",""select"":""""},{""name"":""focus_keywords"",""type"":""text"",""question"":""Focus Keywords (Seperate with Comma)"",""select"":""""}]","<svg xmlns=""http://www.w3.org/2000/svg"" height=""48"" viewBox=""0 96 960 960"" width=""48""><path d=""M140 936q-24.75 0-42.375-17.625T80 876V216l67 67 66-67 67 67 67-67 66 67 67-67 67 67 66-67 67 67 67-67 66 67 67-67v660q0 24.75-17.625 42.375T820 936H140Zm0-60h310V596H140v280Zm370 0h310V766H510v110Zm0-170h310V596H510v110ZM140 536h680V416H140v120Z""/></svg>",0,text,NULL,0,0,#A3D6C2,blog,NULL,2025-09-26T14:23:06.000000Z,2025-09-26T14:23:06.000000Z
5,NULL,"Product Name Generator","Create catchy product names with ease. Attract customers and boost sales effortlessly.",product_name,1,"[{""name"":""seed_words"",""type"":""text"",""question"":""Seed Words (Seperate With Comma)"",""select"":""""},{""name"":""product_description"",""type"":""textarea"",""question"":""Product Description"",""select"":""""}]","<svg xmlns=""http://www.w3.org/2000/svg"" height=""48"" viewBox=""0 96 960 960"" width=""48""><path d=""M290 896V356H80V256h520v100H390v540H290Zm360 0V556H520V456h360v100H750v340H650Z""/></svg>",0,text,NULL,0,0,#C2DEDD,ecommerce,NULL,2025-09-26T14:23:07.000000Z,2025-09-26T14:23:07.000000Z
6,NULL,"Testimonial Review","Instantly generate authentic testimonials. Build trust and credibility with genuine reviews.",testimonial_review,1,"[{""name"":""subject"",""type"":""textarea"",""question"":""Subject"",""select"":""""}]","<svg xmlns=""http://www.w3.org/2000/svg"" height=""40"" viewBox=""0 96 960 960"" width=""40""><path d=""m233 976 65-281L80 506l288-25 112-265 112 265 288 25-218 189 65 281-247-149-247 149Z""/></svg>",0,text,NULL,0,0,#A3A7D6,ecommerce,NULL,2025-09-26T14:23:07.000000Z,2025-09-26T14:23:07.000000Z
7,NULL,"Problem Agitate Solution","Identify and solve problems efficiently. Streamline solutions and increase productivity.",problem_agitate_solution,1,"[{""name"":""description"",""type"":""textarea"",""question"":""Description"",""select"":""""}]","<svg xmlns=""http://www.w3.org/2000/svg"" height=""48"" viewBox=""0 96 960 960"" width=""48""><path d=""m772 421-43-100-104-46 104-45 43-95 43 95 104 45-104 46-43 100Zm0 595-43-96-104-45 104-45 43-101 43 101 104 45-104 45-43 96ZM333 862l-92-197-201-90 201-90 92-196 93 196 200 90-200 90-93 197Zm0-148 48-96 98-43-98-43-48-96-47 96-99 43 99 43 47 96Zm0-139Z""/></svg>",0,text,NULL,0,0,#E0BFC9,development,NULL,2025-09-26T14:23:08.000000Z,2025-09-26T14:23:08.000000Z
8,NULL,"Blog Section","Effortlessly create blog sections with AI. Get unique, engaging content and save time.",blog_section,1,"[{""name"":""description"",""type"":""textarea"",""question"":""Description"",""select"":""""}]","<svg xmlns=""http://www.w3.org/2000/svg"" height=""48"" viewBox=""0 96 960 960"" width=""48""><path d=""M180 936q-24.75 0-42.375-17.625T120 876V276q0-24.75 17.625-42.375T180 216h600q24.75 0 42.375 17.625T840 276v600q0 24.75-17.625 42.375T780 936H180Zm0-60h600V356H180v520Zm100-310v-60h390v60H280Zm0 160v-60h230v60H280Z""/></svg>",0,text,NULL,0,0,#A3D6C2,blog,NULL,2025-09-26T14:23:08.000000Z,2025-09-26T14:23:08.000000Z
9,NULL,"Blog Post Ideas","Unlock your creativity with unique blog post ideas. Generate endless inspiration and take your content to the next level.",blog_post_ideas,1,"[{""name"":""description"",""type"":""textarea"",""question"":""Description"",""select"":""""}]","<svg xmlns=""http://www.w3.org/2000/svg"" height=""48"" viewBox=""0 96 960 960"" width=""48""><path d=""M360 896q-134 0-227-93T40 576q0-134 93-227t227-93q134 0 227 93t93 227q0 134-93 227t-227 93Zm-.235-60Q468 836 544 760.235q76-75.764 76-184Q620 468 544.235 392q-75.764-76-184-76Q252 316 176 391.765q-76 75.764-76 184Q100 684 175.765 760q75.764 76 184 76ZM330 706h60V506h80v-40H250v40h80v200Zm454-298-42-94-94-42 94-42 42-94 42 94 94 42-94 42-42 94Zm0 608-42-94-94-42 94-42 42-94 42 94 94 42-94 42-42 94ZM360 576Z""/></svg>",0,text,NULL,0,0,#A3D6C2,blog,NULL,2025-09-26T14:23:09.000000Z,2025-09-26T14:23:09.000000Z
10,NULL,"Blog Intros","Set the tone for your blog post with captivating intros. Grab readers' attention and keep them engaged.",blog_intros,1,"[{""name"":""title"",""type"":""text"",""question"":""Title of blog text"",""select"":""""},{""name"":""description"",""type"":""textarea"",""question"":""Description of your need"",""select"":""""}]","<svg xmlns=""http://www.w3.org/2000/svg"" height=""48"" viewBox=""0 96 960 960"" width=""48""><path d=""M80 976v-60h800v60H80Zm210-450V426h380v100H290Zm0 240V666h380v100H290Z""/></svg>",0,text,NULL,0,0,#A3D6C2,blog,NULL,2025-09-26T14:23:10.000000Z,2025-09-26T14:23:10.000000Z
